what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366134138097
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366134142144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366134142156
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366134144521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366134164867
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366134165605
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1366134166575
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366134172991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366134174603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366134220568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135693966
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366135694064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366135700980
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366135702031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135703585
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366135705981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135705995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135708367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135712047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135715171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135720873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135745659
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366135751886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135751902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135754413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135757039
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366135759051
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366135759156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1366135760547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366135768289
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366135769316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366135773017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366135773329
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366135774452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135776387
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366135778956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135778969
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366135781268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135781463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135782597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366135784970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366135785190
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366135785958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135787570
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366135792556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135792571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366135792641
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366135795224
