what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366055895788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055895801
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366055897669
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366055898335
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1366055899290
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --go, --accept-bad-sysid, /home/user3/spring13/ie2147/Desktop/Git/Snake_Plus/software/snake_software/snake_software.elf] return code: 8",1366055906074
error,log,,,"Downloading ELF Process failed",1366055906078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055906136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055907281
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1366055909647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055910585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055913092
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1366055914378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366055925746
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1366055931983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055932559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055937054
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366055937906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055942948
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366055944773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055944789
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366055946717
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1366055947383
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1366055948349
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1366055956300
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1366055975034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055976556
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1366055978155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055978170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055982106
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1366055983935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366055983948
